Fecha,Grupo,Producto,Mercado,Precio_kg
ene-20,VERDURAS Y HORTALIZAS,Acelga,"Armenia, Mercar",1.295
ene-20,VERDURAS Y HORTALIZAS,Acelga,"Barranquilla, Barranquillita",3.544
ene-20,VERDURAS Y HORTALIZAS,Acelga,"Bogotá, D.C., Corabastos",900
ene-20,VERDURAS Y HORTALIZAS,Acelga,"Bucaramanga, Centroabastos",1.253
ene-20,VERDURAS Y HORTALIZAS,Acelga,Chiquinquirá (Boyacá),1.408
ene-20,VERDURAS Y HORTALIZAS,Acelga,Duitama (Boyacá),1
ene-20,VERDURAS Y HORTALIZAS,Acelga,Florencia (Caquetá),1.55
ene-20,VERDURAS Y HORTALIZAS,Acelga,"Ibagué, Plaza La 21",1.258
ene-20,VERDURAS Y HORTALIZAS,Acelga,"Ipiales (Nariño), Ipiales somos todos",1.547
ene-20,VERDURAS Y HORTALIZAS,Acelga,"Medellín, Central Mayorista de Antioquia",1.049
ene-20,VERDURAS Y HORTALIZAS,Acelga,"Neiva, Surabastos",1.775
ene-20,VERDURAS Y HORTALIZAS,Acelga,Pamplona (Norte de Santander),2
ene-20,VERDURAS Y HORTALIZAS,Acelga,"Pasto, El Potrerillo",2.462
ene-20,VERDURAS Y HORTALIZAS,Acelga,Sogamoso (Boyacá),1.167
ene-20,VERDURAS Y HORTALIZAS,Acelga,"Tunja, Complejo de Servicios del Sur",1.288
ene-20,VERDURAS Y HORTALIZAS,Acelga,Ubaté (Cundinamarca),769
ene-20,VERDURAS Y HORTALIZAS,Acelga,"Villavicencio, CAV",1.404
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,Arauca (Arauca),857
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Armenia, Mercar",986
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Barranquillita",825
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Granabastos",781
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Bogotá, D.C., Corabastos",1.329
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Bucaramanga, Centroabastos",899
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,Buenaventura (Valle del Cauca),1.467
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Cali, Cavasa",1.177
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Cali, Santa Helena",1.196
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Cartagena, Bazurto",952
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,Cartago (Valle del Cauca),1.111
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Cúcuta, Cenabastos",964
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,Duitama (Boyacá),779
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Ibagué, Plaza La 21",1.026
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Manizales, Centro Galerías",1.483
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Medellín, Central Mayorista de Antioquia",886
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Medellín, Plaza Minorista ""José María Villa""",801
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Montería, Mercado del Sur",461
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,Palmira (Valle del Cauca),1.316
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,Pamplona (Norte de Santander),979
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Pereira, La 41",1.257
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Pereira, Mercasa",1.216
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Popayán, Plaza de mercado del barrio Bolívar",1.048
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,Rionegro (Antioquia),1.068
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,San Gil (Santander),904
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,Santa Marta (Magdalena),857
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Sincelejo, Nuevo Mercado",600
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,Socorro (Santander),888
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,Sogamoso (Boyacá),691
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,Tuluá (Valle del Cauca),1.195
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Tunja, Complejo de Servicios del Sur",758
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Valledupar, Mercabastos",732
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,"Valledupar, Mercado Nuevo",752
ene-20,VERDURAS Y HORTALIZAS,Ahuyama,Yopal (Casanare),700
ene-20,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Bogotá, D.C., Corabastos",913
ene-20,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Bucaramanga, Centroabastos",551
ene-20,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Duitama (Boyacá),870
ene-20,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Florencia (Caquetá),1.208
ene-20,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Ibagué, Plaza La 21",1.574
ene-20,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Neiva, Surabastos",1.227
ene-20,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Pamplona (Norte de Santander),979
ene-20,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),San Gil (Santander),731
ene-20,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Sogamoso (Boyacá),791
ene-20,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Tunja, Complejo de Servicios del Sur",888
ene-20,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Villavicencio, CAV",1.128
ene-20,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Yopal (Casanare),1.022
ene-20,VERDURAS Y HORTALIZAS,Ají topito dulce,"Barranquilla, Barranquillita",2.906
ene-20,VERDURAS Y HORTALIZAS,Ají topito dulce,"Cartagena, Bazurto",2.621
ene-20,VERDURAS Y HORTALIZAS,Ají topito dulce,"Medellín, Central Mayorista de Antioquia",2.39
ene-20,VERDURAS Y HORTALIZAS,Ají topito dulce,"Montería, Mercado del Sur",2.858
ene-20,VERDURAS Y HORTALIZAS,Ají topito dulce,"Sincelejo, Nuevo Mercado",2.642
ene-20,VERDURAS Y HORTALIZAS,Ajo,"Bogotá, D.C., Corabastos",15.333
ene-20,VERDURAS Y HORTALIZAS,Ajo,Chiquinquirá (Boyacá),4.35
ene-20,VERDURAS Y HORTALIZAS,Ajo,"Cúcuta, Cenabastos",3.535
ene-20,VERDURAS Y HORTALIZAS,Ajo,Duitama (Boyacá),4.117
ene-20,VERDURAS Y HORTALIZAS,Ajo,"Ipiales (Nariño), Ipiales somos todos",9.944
ene-20,VERDURAS Y HORTALIZAS,Ajo,"Manizales, Centro Galerías",10.486
ene-20,VERDURAS Y HORTALIZAS,Ajo,"Medellín, Central Mayorista de Antioquia",10.04
ene-20,VERDURAS Y HORTALIZAS,Ajo,Pamplona (Norte de Santander),3.459
ene-20,VERDURAS Y HORTALIZAS,Ajo,"Pasto, El Potrerillo",7.536
ene-20,VERDURAS Y HORTALIZAS,Ajo,"Pereira, La 41",7.496
ene-20,VERDURAS Y HORTALIZAS,Ajo,"Pereira, Mercasa",8.992
ene-20,VERDURAS Y HORTALIZAS,Ajo,San Gil (Santander),4.472
ene-20,VERDURAS Y HORTALIZAS,Ajo,Sogamoso (Boyacá),4.281
ene-20,VERDURAS Y HORTALIZAS,Ajo,"Tunja, Complejo de Servicios del Sur",4.179
ene-20,VERDURAS Y HORTALIZAS,Ajo,Túquerres (Nariño),8.958
ene-20,VERDURAS Y HORTALIZAS,Ajo,"Villavicencio, CAV",8.15
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,Arauca (Arauca),7.819
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,"Armenia, Mercar",7.633
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,"Barranquilla, Barranquillita",6.725
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,"Barranquilla, Granabastos",6.671
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,"Bogotá, D.C., Corabastos",7.629
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,"Bucaramanga, Centroabastos",6.9
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,Buenaventura (Valle del Cauca),7.478
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,"Cali, Cavasa",7.028
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,"Cali, Santa Helena",7.042
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,"Cartagena, Bazurto",6.772
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,Cartago (Valle del Cauca),7.559
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,"Cúcuta, Cenabastos",7
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,"Ibagué, Plaza La 21",8.019
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,"Ipiales (Nariño), Ipiales somos todos",7.085
ene-20,VERDURAS Y HORTALIZAS,Ajo importado,"Manizales, Centro Galerías",8.185
