Fecha,Grupo,Producto,Mercado,Precio_kg
ene-17,VERDURAS Y HORTALIZAS,Acelga,"Armenia, Mercar",1.297
ene-17,VERDURAS Y HORTALIZAS,Acelga,"Barranquilla, Barranquillita",2.463
ene-17,VERDURAS Y HORTALIZAS,Acelga,"Bogotá, D.C., Corabastos",1.057
ene-17,VERDURAS Y HORTALIZAS,Acelga,"Bucaramanga, Centroabastos",1.5
ene-17,VERDURAS Y HORTALIZAS,Acelga,Chiquinquirá (Boyacá),1.375
ene-17,VERDURAS Y HORTALIZAS,Acelga,Duitama (Boyacá),975
ene-17,VERDURAS Y HORTALIZAS,Acelga,Florencia (Caquetá),1.189
ene-17,VERDURAS Y HORTALIZAS,Acelga,"Ibagué, Plaza La 21",1.369
ene-17,VERDURAS Y HORTALIZAS,Acelga,"Ipiales (Nariño), Ipiales somos todos",896
ene-17,VERDURAS Y HORTALIZAS,Acelga,"Medellín, Central Mayorista de Antioquia",921
ene-17,VERDURAS Y HORTALIZAS,Acelga,"Neiva, Surabastos",1.943
ene-17,VERDURAS Y HORTALIZAS,Acelga,Pamplona (Norte de Santander),2
ene-17,VERDURAS Y HORTALIZAS,Acelga,"Pasto, El Potrerillo",1.779
ene-17,VERDURAS Y HORTALIZAS,Acelga,Sogamoso (Boyacá),994
ene-17,VERDURAS Y HORTALIZAS,Acelga,"Tunja, Complejo de Servicios del Sur",1.2
ene-17,VERDURAS Y HORTALIZAS,Acelga,Ubaté (Cundinamarca),1.05
ene-17,VERDURAS Y HORTALIZAS,Acelga,"Villavicencio, CAV",1.249
ene-17,VERDURAS Y HORTALIZAS,Acelga,Yopal (Casanare),2
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,Arauca (Arauca),1
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Armenia, Mercar",654
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Barranquillita",772
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Granabastos",831
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Bogotá, D.C., Corabastos",881
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Bucaramanga, Centroabastos",551
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,Buenaventura (Valle del Cauca),644
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Cali, Cavasa",600
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Cali, Santa Helena",602
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Cartagena, Bazurto",843
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,Cartago (Valle del Cauca),678
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Cúcuta, Cenabastos",691
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,Duitama (Boyacá),490
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Ibagué, Plaza La 21",733
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Manizales, Centro Galerías",897
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Medellín, Central Mayorista de Antioquia",550
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Montería, Mercado del Sur",425
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,Palmira (Valle del Cauca),559
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,Pamplona (Norte de Santander),922
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Pereira, La 41",767
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Pereira, Mercasa",713
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Popayán, Plaza de mercado del barrio Bolívar",599
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,Rionegro (Antioquia),781
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,San Gil (Santander),662
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,Santa Marta (Magdalena),643
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Sincelejo, Nuevo Mercado",597
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,Socorro (Santander),625
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,Sogamoso (Boyacá),550
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,Tuluá (Valle del Cauca),600
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Tunja, Complejo de Servicios del Sur",492
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Valledupar, Mercabastos",490
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,"Valledupar, Mercado Nuevo",596
ene-17,VERDURAS Y HORTALIZAS,Ahuyama,Yopal (Casanare),850
ene-17,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Bogotá, D.C., Corabastos",781
ene-17,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Duitama (Boyacá),633
