Fecha,Grupo,Producto,Mercado,Precio_kg
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Armenia, Mercar",1.387
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Bogotá, D.C., Corabastos",607
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Bucaramanga, Centroabastos",2
ene-24,VERDURAS Y HORTALIZAS,Acelga,Chiquinquirá (Boyacá),1.896
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Duitama (Boyacá), Mercaplaza",2
ene-24,VERDURAS Y HORTALIZAS,Acelga,Florencia (Caquetá),2.65
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Ibagué, Plaza La 21",1.529
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Ipiales (Nariño), Ipiales somos todos",2
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Medellín, Central Mayorista de Antioquia",2.065
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Neiva, Surabastos",2.464
ene-24,VERDURAS Y HORTALIZAS,Acelga,Pamplona (Norte de Santander),2.625
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Pasto, El Potrerillo",3.212
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Pereira, Mercasa",2.563
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Tibasosa (Boyacá), Coomproriente",2
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Tunja, Complejo de Servicios del Sur",2
ene-24,VERDURAS Y HORTALIZAS,Acelga,"Villavicencio, CAV",1.985
ene-24,VERDURAS Y HORTALIZAS,Acelga,Yopal (Casanare),2.5
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Armenia, Mercar",1.067
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Granabastos",990
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Bogotá, D.C., Corabastos",1.938
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Bucaramanga, Centroabastos",1.688
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,Buenaventura (Valle del Cauca),1.867
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Cali, Cavasa",1.269
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Cali, Santa Elena",1.241
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,Cartago (Valle del Cauca),1.538
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Cúcuta, Cenabastos",1.691
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Ibagué, Plaza La 21",1.416
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Manizales, Centro Galerías",1.867
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Medellín, Central Mayorista de Antioquia",1.023
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Medellín, Plaza Minorista ""José María Villa""",1.21
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Montería, Mercado del Sur",906
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,Palmira (Valle del Cauca),1.367
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,Pamplona (Norte de Santander),1.673
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Pereira, La 41",1.789
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Pereira, Mercasa",1.475
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Popayán, Plaza de mercado del barrio Bolívar",1.881
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,San Gil (Santander),1.85
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Sincelejo, Nuevo Mercado",1.014
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,Socorro (Santander),1.775
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Tibasosa (Boyacá), Coomproriente",2.266
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,Tuluá (Valle del Cauca),1.5
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Tunja, Complejo de Servicios del Sur",1.058
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Valledupar, Mercabastos",1.077
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,"Valledupar, Mercado Nuevo",933
ene-24,VERDURAS Y HORTALIZAS,Ahuyama,Yopal (Casanare),888
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Arauca (Arauca),2.233
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Bogotá, D.C., Corabastos",2.202
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Bucaramanga, Centroabastos",1.463
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Chiquinquirá (Boyacá),2.129
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Duitama (Boyacá), Mercaplaza",1.9
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Florencia (Caquetá),3.173
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Ibagué, Plaza La 21",2.943
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Neiva, Surabastos",2.471
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Pamplona (Norte de Santander),1.673
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),San Gil (Santander),1.55
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Tibasosa (Boyacá), Coomproriente",1.963
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Tunja, Complejo de Servicios del Sur",1.966
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Villavicencio, CAV",2.515
ene-24,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Yopal (Casanare),2.2
ene-24,VERDURAS Y HORTALIZAS,Ají topito dulce,"Cartagena, Bazurto",6.966
ene-24,VERDURAS Y HORTALIZAS,Ají topito dulce,"Medellín, Central Mayorista de Antioquia",4.783
ene-24,VERDURAS Y HORTALIZAS,Ají topito dulce,"Montería, Mercado del Sur",7.072
ene-24,VERDURAS Y HORTALIZAS,Ají topito dulce,"Sincelejo, Nuevo Mercado",6.745
ene-24,VERDURAS Y HORTALIZAS,Ajo,"Bogotá, D.C., Corabastos",15.088
ene-24,VERDURAS Y HORTALIZAS,Ajo,Chiquinquirá (Boyacá),4.746
ene-24,VERDURAS Y HORTALIZAS,Ajo,"Cúcuta, Cenabastos",3.435
ene-24,VERDURAS Y HORTALIZAS,Ajo,"Duitama (Boyacá), Mercaplaza",4.55
ene-24,VERDURAS Y HORTALIZAS,Ajo,"Ipiales (Nariño), Ipiales somos todos",11.938
ene-24,VERDURAS Y HORTALIZAS,Ajo,"Manizales, Centro Galerías",9.074
ene-24,VERDURAS Y HORTALIZAS,Ajo,"Medellín, Central Mayorista de Antioquia",10.515
ene-24,VERDURAS Y HORTALIZAS,Ajo,Pamplona (Norte de Santander),3.954
ene-24,VERDURAS Y HORTALIZAS,Ajo,"Pasto, El Potrerillo",12.288
ene-24,VERDURAS Y HORTALIZAS,Ajo,"Pereira, La 41",10.01
ene-24,VERDURAS Y HORTALIZAS,Ajo,"Pereira, Mercasa",10.308
