Fecha,Grupo,Producto,Mercado,Precio_kg
ene-15,CARNES,Alas de pollo con costillar,"Armenia, Mercar",3.8
ene-15,CARNES,Alas de pollo con costillar,"Barranquilla, Barranquillita",3.375
ene-15,CARNES,Alas de pollo con costillar,"Barranquilla, Granabastos",3.567
ene-15,CARNES,Alas de pollo con costillar,"Bogotá, D.C., Frigorífico Ble Ltda.",2.989
ene-15,CARNES,Alas de pollo con costillar,"Bogotá, D.C., Frigorífico Guadalupe",2.644
ene-15,CARNES,Alas de pollo con costillar,"Cali, Galería Alameda",3.75
ene-15,CARNES,Alas de pollo con costillar,"Cali, Santa Helena",4.183
ene-15,CARNES,Alas de pollo con costillar,"Cartagena, Bazurto",3.563
ene-15,CARNES,Alas de pollo con costillar,"Ibagué, Plaza La 21",4.217
ene-15,CARNES,Alas de pollo con costillar,"Montería, Mercado del Sur",3.308
ene-15,CARNES,Alas de pollo con costillar,Palmira (Valle del Cauca),4
ene-15,CARNES,Alas de pollo con costillar,"Sincelejo, Nuevo Mercado",3.6
ene-15,CARNES,Alas de pollo con costillar,Tuluá (Valle del Cauca),4.667
ene-15,CARNES,Alas de pollo con costillar,"Valledupar, Mercado Nuevo",2.925
ene-15,CARNES,Alas de pollo con costillar,"Villavicencio, CAV",4.163
ene-15,CARNES,Alas de pollo sin costillar,"Bogotá, D.C., Corabastos",4.283
ene-15,CARNES,Alas de pollo sin costillar,"Bogotá, D.C., Frigorífico Ble Ltda.",4.985
ene-15,CARNES,Alas de pollo sin costillar,"Bogotá, D.C., Frigorífico Guadalupe",4.874
ene-15,CARNES,Alas de pollo sin costillar,"Bogotá, D.C., Paloquemao",5.492
ene-15,CARNES,Alas de pollo sin costillar,"Bucaramanga, Frigoríficos",4.55
ene-15,CARNES,Alas de pollo sin costillar,"Cúcuta, Cenabastos",3.78
ene-15,CARNES,Alas de pollo sin costillar,"Medellín, Central Mayorista de Antioquia",4.45
ene-15,CARNES,Alas de pollo sin costillar,"Medellín, Plaza Minorista ""José María Villa""",4
ene-15,CARNES,Alas de pollo sin costillar,"Neiva, Surabastos",3.775
ene-15,CARNES,"Carne de cerdo, brazo con hueso","Armenia, Frigocafé",9.25
ene-15,CARNES,"Carne de cerdo, brazo con hueso","Barranquilla, Barranquillita",8.1
ene-15,CARNES,"Carne de cerdo, brazo con hueso","Bogotá, D.C., Frigorífico Ble Ltda.",9.151
ene-15,CARNES,"Carne de cerdo, brazo con hueso","Bogotá, D.C., Frigorífico Guadalupe",8.701
ene-15,CARNES,"Carne de cerdo, brazo con hueso","Bogotá, D.C., Paloquemao",9.167
ene-15,CARNES,"Carne de cerdo, brazo con hueso","Cartagena, Bazurto",7.625
ene-15,CARNES,"Carne de cerdo, brazo con hueso","Cúcuta, Cenabastos",8.75
ene-15,CARNES,"Carne de cerdo, brazo con hueso","Montería, Mercado del Sur",8.975
ene-15,CARNES,"Carne de cerdo, brazo con hueso","Sincelejo, Nuevo Mercado",7.25
ene-15,CARNES,"Carne de cerdo, brazo con hueso","Valledupar, Mercado Nuevo",8.5
ene-15,CARNES,"Carne de cerdo, brazo sin hueso","Armenia, Frigocafé",10.25
ene-15,CARNES,"Carne de cerdo, brazo sin hueso","Barranquilla, Barranquillita",10.4
ene-15,CARNES,"Carne de cerdo, brazo sin hueso","Bogotá, D.C., Frigorífico Ble Ltda.",9.661
