Fecha,Grupo,Producto,Mercado,Precio_kg
ene-19,VERDURAS Y HORTALIZAS,Acelga,"Armenia, Mercar",1.065
ene-19,VERDURAS Y HORTALIZAS,Acelga,"Barranquilla, Barranquillita",3
ene-19,VERDURAS Y HORTALIZAS,Acelga,"Bogotá, D.C., Corabastos",764
ene-19,VERDURAS Y HORTALIZAS,Acelga,"Bucaramanga, Centroabastos",1.556
ene-19,VERDURAS Y HORTALIZAS,Acelga,Chiquinquirá (Boyacá),1.058
ene-19,VERDURAS Y HORTALIZAS,Acelga,Duitama (Boyacá),1
ene-19,VERDURAS Y HORTALIZAS,Acelga,Florencia (Caquetá),2
ene-19,VERDURAS Y HORTALIZAS,Acelga,"Ibagué, Plaza La 21",1.156
ene-19,VERDURAS Y HORTALIZAS,Acelga,"Ipiales (Nariño), Ipiales somos todos",1.437
ene-19,VERDURAS Y HORTALIZAS,Acelga,"Medellín, Central Mayorista de Antioquia",1.669
ene-19,VERDURAS Y HORTALIZAS,Acelga,"Neiva, Surabastos",1.774
ene-19,VERDURAS Y HORTALIZAS,Acelga,Pamplona (Norte de Santander),2
ene-19,VERDURAS Y HORTALIZAS,Acelga,"Pasto, El Potrerillo",2.115
ene-19,VERDURAS Y HORTALIZAS,Acelga,Sogamoso (Boyacá),1
ene-19,VERDURAS Y HORTALIZAS,Acelga,"Tunja, Complejo de Servicios del Sur",1.067
ene-19,VERDURAS Y HORTALIZAS,Acelga,Ubaté (Cundinamarca),875
ene-19,VERDURAS Y HORTALIZAS,Acelga,"Villavicencio, CAV",1.281
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,Arauca (Arauca),939
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Armenia, Mercar",817
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Barranquillita",1.254
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Granabastos",1.219
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Bogotá, D.C., Corabastos",1.145
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Bucaramanga, Centroabastos",797
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,Buenaventura (Valle del Cauca),1.158
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Cali, Cavasa",900
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Cali, Santa Helena",956
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Cartagena, Bazurto",1.085
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,Cartago (Valle del Cauca),946
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Cúcuta, Cenabastos",962
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,Duitama (Boyacá),645
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Ibagué, Plaza La 21",857
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Manizales, Centro Galerías",1.017
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Medellín, Central Mayorista de Antioquia",650
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Medellín, Plaza Minorista ""José María Villa""",750
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,Palmira (Valle del Cauca),938
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,Pamplona (Norte de Santander),1
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Pereira, La 41",867
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Pereira, Mercasa",1.008
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Popayán, Plaza de mercado del barrio Bolívar",804
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,Rionegro (Antioquia),930
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,San Gil (Santander),833
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,Santa Marta (Magdalena),1.095
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Sincelejo, Nuevo Mercado",960
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,Socorro (Santander),733
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,Sogamoso (Boyacá),710
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,Tuluá (Valle del Cauca),915
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Tunja, Complejo de Servicios del Sur",641
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Valledupar, Mercabastos",1.12
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,"Valledupar, Mercado Nuevo",1.02
ene-19,VERDURAS Y HORTALIZAS,Ahuyama,Yopal (Casanare),933
ene-19,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Bogotá, D.C., Corabastos",766
ene-19,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Bucaramanga, Centroabastos",626
ene-19,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Duitama (Boyacá),690
ene-19,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Florencia (Caquetá),904
ene-19,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Ibagué, Plaza La 21",1.248
ene-19,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Neiva, Surabastos",956
ene-19,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Pamplona (Norte de Santander),1
ene-19,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),San Gil (Santander),647
ene-19,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Sogamoso (Boyacá),767
ene-19,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Tunja, Complejo de Servicios del Sur",862
ene-19,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Villavicencio, CAV",889
ene-19,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Yopal (Casanare),1.103
ene-19,VERDURAS Y HORTALIZAS,Ají topito dulce,"Barranquilla, Barranquillita",4.628
ene-19,VERDURAS Y HORTALIZAS,Ají topito dulce,"Cartagena, Bazurto",3.02
ene-19,VERDURAS Y HORTALIZAS,Ají topito dulce,"Medellín, Central Mayorista de Antioquia",3.634
ene-19,VERDURAS Y HORTALIZAS,Ají topito dulce,"Montería, Mercado del Sur",4.693
ene-19,VERDURAS Y HORTALIZAS,Ají topito dulce,"Sincelejo, Nuevo Mercado",3.94
ene-19,VERDURAS Y HORTALIZAS,Ajo,"Bogotá, D.C., Corabastos",8.701
ene-19,VERDURAS Y HORTALIZAS,Ajo,Chiquinquirá (Boyacá),7.325
ene-19,VERDURAS Y HORTALIZAS,Ajo,"Cúcuta, Cenabastos",2.797
ene-19,VERDURAS Y HORTALIZAS,Ajo,Duitama (Boyacá),3.583
ene-19,VERDURAS Y HORTALIZAS,Ajo,"Ipiales (Nariño), Ipiales somos todos",4.559
ene-19,VERDURAS Y HORTALIZAS,Ajo,"Manizales, Centro Galerías",6.782
ene-19,VERDURAS Y HORTALIZAS,Ajo,"Medellín, Central Mayorista de Antioquia",6.827
ene-19,VERDURAS Y HORTALIZAS,Ajo,Pamplona (Norte de Santander),3.805
ene-19,VERDURAS Y HORTALIZAS,Ajo,"Pasto, El Potrerillo",3.782
ene-19,VERDURAS Y HORTALIZAS,Ajo,"Pereira, La 41",5.333
ene-19,VERDURAS Y HORTALIZAS,Ajo,"Pereira, Mercasa",6.224
ene-19,VERDURAS Y HORTALIZAS,Ajo,San Gil (Santander),3.236
ene-19,VERDURAS Y HORTALIZAS,Ajo,Sogamoso (Boyacá),3.417
