Fecha,Grupo,Producto,Mercado,Precio_kg
ene-13,CARNES,Alas de pollo con costillar,"Barranquilla, Barranquillita",3.073
ene-13,CARNES,Alas de pollo con costillar,"Barranquilla, Granabastos",3.067
ene-13,CARNES,Alas de pollo con costillar,"Bogotá, D.C., Frigorífico Ble Ltda.",2.967
ene-13,CARNES,Alas de pollo con costillar,"Bogotá, D.C., Frigorífico Guadalupe",2.56
ene-13,CARNES,Alas de pollo con costillar,"Cartagena, Bazurto",3.429
ene-13,CARNES,Alas de pollo con costillar,"Ibagué, Plaza La 21",4.307
ene-13,CARNES,Alas de pollo con costillar,"Medellín, Plaza Minorista ""José María Villa""",3.717
ene-13,CARNES,Alas de pollo con costillar,"Montería, Mercado del Sur",3.8
ene-13,CARNES,Alas de pollo con costillar,"Sincelejo, Nuevo Mercado",3.78
ene-13,CARNES,Alas de pollo con costillar,Tuluá (Valle del Cauca),4.5
ene-13,CARNES,Alas de pollo con costillar,"Valledupar, Mercado Nuevo",2.92
ene-13,CARNES,Alas de pollo con costillar,"Villavicencio, CAV",4.52
ene-13,CARNES,Alas de pollo sin costillar,"Armenia, Mercar",4
ene-13,CARNES,Alas de pollo sin costillar,"Bogotá, D.C., Corabastos",4.358
ene-13,CARNES,Alas de pollo sin costillar,"Bogotá, D.C., Frigorífico Ble Ltda.",4.771
ene-13,CARNES,Alas de pollo sin costillar,"Bogotá, D.C., Frigorífico Guadalupe",4.854
ene-13,CARNES,Alas de pollo sin costillar,"Bogotá, D.C., Paloquemao",5.353
ene-13,CARNES,Alas de pollo sin costillar,"Bucaramanga, Frigoríficos",4.541
ene-13,CARNES,Alas de pollo sin costillar,"Cúcuta, Cenabastos",4.06
ene-13,CARNES,Alas de pollo sin costillar,"Ibagué, Frigorífico Carlima",4
ene-13,CARNES,Alas de pollo sin costillar,"Medellín, Central Mayorista de Antioquia",4.023
ene-13,CARNES,"Carne de cerdo, brazo con hueso","Armenia, Frigocafé",8.52
ene-13,CARNES,"Carne de cerdo, brazo con hueso","Barranquilla, Barranquillita",8
ene-13,CARNES,"Carne de cerdo, brazo con hueso","Bogotá, D.C., Frigorífico Ble Ltda.",7.78
ene-13,CARNES,"Carne de cerdo, brazo con hueso","Bogotá, D.C., Frigorífico Guadalupe",7.444
ene-13,CARNES,"Carne de cerdo, brazo con hueso","Bogotá, D.C., Paloquemao",7.68
ene-13,CARNES,"Carne de cerdo, brazo con hueso","Cartagena, Bazurto",7
ene-13,CARNES,"Carne de cerdo, brazo con hueso","Cúcuta, Cenabastos",8.733
ene-13,CARNES,"Carne de cerdo, brazo con hueso","Montería, Mercado del Sur",8.5
ene-13,CARNES,"Carne de cerdo, brazo con hueso","Sincelejo, Nuevo Mercado",7
ene-13,CARNES,"Carne de cerdo, brazo con hueso","Valledupar, Mercado Nuevo",8.283
ene-13,CARNES,"Carne de cerdo, brazo con hueso","Villavicencio, CAV",8.807
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Armenia, Frigocafé",9
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Barranquilla, Barranquillita",10
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Bogotá, D.C., Frigorífico Ble Ltda.",8.18
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Bogotá, D.C., Frigorífico Guadalupe",8.356
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Bogotá, D.C., Paloquemao",8.6
ene-13,CARNES,"Carne de cerdo, brazo sin hueso",Buenaventura (Valle del Cauca),11
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Cali, Santa Helena",9.833
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Cartagena, Bazurto",10
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Ibagué, Frigorífico Carlima",8.975
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Ibagué, Plaza La 21",9.393
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Medellín, Central Mayorista de Antioquia",9.267
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Montería, Mercado del Sur",10
ene-13,CARNES,"Carne de cerdo, brazo sin hueso",Palmira (Valle del Cauca),9.75
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Pasto, El Potrerillo",9.475
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Pereira, La 41",9
ene-13,CARNES,"Carne de cerdo, brazo sin hueso","Popayán, Plaza de mercado del barrio Bolívar",9.75
