Fecha,Grupo,Producto,Mercado,Precio_kg
ene-13,VERDURAS Y HORTALIZAS,Arveja verde en vaina,"Manizales, Centro Galerías",1778.0
ene-13,VERDURAS Y HORTALIZAS,Berenjena,"Manizales, Centro Galerías",1850.0
ene-13,VERDURAS Y HORTALIZAS,Brócoli,"Manizales, Centro Galerías",2311.0
ene-13,VERDURAS Y HORTALIZAS,Cebolla cabezona blanca,"Manizales, Centro Galerías",928.0
ene-13,VERDURAS Y HORTALIZAS,Cebolla junca,"Manizales, Centro Galerías",1185.0
ene-13,VERDURAS Y HORTALIZAS,Chócolo mazorca,"Manizales, Centro Galerías",541.0
ene-13,VERDURAS Y HORTALIZAS,Cilantro,"Manizales, Centro Galerías",2763.0
ene-13,VERDURAS Y HORTALIZAS,Coliflor,"Manizales, Centro Galerías",1596.0
ene-13,VERDURAS Y HORTALIZAS,Espinaca,"Manizales, Centro Galerías",2963.0
ene-13,VERDURAS Y HORTALIZAS,Fríjol verde en vaina,"Manizales, Centro Galerías",1903.0
ene-13,VERDURAS Y HORTALIZAS,Habichuela,"Manizales, Centro Galerías",1253.0
ene-13,VERDURAS Y HORTALIZAS,Lechuga Batavia,"Manizales, Centro Galerías",1313.0
ene-13,VERDURAS Y HORTALIZAS,Pepino cohombro,"Manizales, Centro Galerías",1299.0
ene-13,VERDURAS Y HORTALIZAS,Perejil,"Manizales, Centro Galerías",3600.0
ene-13,VERDURAS Y HORTALIZAS,Pimentón,"Manizales, Centro Galerías",1553.0
ene-13,VERDURAS Y HORTALIZAS,Remolacha,"Manizales, Centro Galerías",785.0
ene-13,VERDURAS Y HORTALIZAS,Repollo verde,"Manizales, Centro Galerías",907.0
ene-13,VERDURAS Y HORTALIZAS,Tomate chonto,"Manizales, Centro Galerías",1551.0
feb-13,CARNES,"Carne de cerdo, espinazo","Manizales, Centro Galerías",7000.0
feb-13,CARNES,"Carne de cerdo, lomo sin hueso","Manizales, Centro Galerías",1300.0
feb-13,CARNES,"Carne de cerdo, pernil sin hueso","Manizales, Centro Galerías",1100.0
feb-13,CARNES,"Carne de cerdo, tocino papada","Manizales, Centro Galerías",8000.0
feb-13,FRUTAS,Banano criollo,"Manizales, Centro Galerías",500.0
feb-13,FRUTAS,Coco,"Manizales, Centro Galerías",1573.0
feb-13,FRUTAS,Fresa,"Manizales, Centro Galerías",3746.0
feb-13,FRUTAS,Granadilla,"Manizales, Centro Galerías",2646.0
feb-13,FRUTAS,Guanábana,"Manizales, Centro Galerías",1966.0
feb-13,FRUTAS,Guayaba agria,"Manizales, Centro Galerías",2131.0
feb-13,FRUTAS,Guayaba manzana,"Manizales, Centro Galerías",1456.0
feb-13,FRUTAS,Guayaba pera,"Manizales, Centro Galerías",1044.0
feb-13,FRUTAS,Kiwi,"Manizales, Centro Galerías",4956.0
feb-13,FRUTAS,Limón Tahití,"Manizales, Centro Galerías",600.0
feb-13,FRUTAS,Lulo,"Manizales, Centro Galerías",1713.0
feb-13,FRUTAS,Mandarina Oneco,"Manizales, Centro Galerías",1219.0
feb-13,FRUTAS,Mango Tommy,"Manizales, Centro Galerías",1116.0
feb-13,FRUTAS,Manzana roja importada,"Manizales, Centro Galerías",3596.0
feb-13,FRUTAS,Manzana royal gala importada,"Manizales, Centro Galerías",3926.0
feb-13,FRUTAS,Manzana verde importada,"Manizales, Centro Galerías",4718.0
feb-13,FRUTAS,Maracuyá,"Manizales, Centro Galerías",1644.0
feb-13,FRUTAS,Melón Cantalup,"Manizales, Centro Galerías",1357.0
feb-13,FRUTAS,Mora de Castilla,"Manizales, Centro Galerías",2123.0
feb-13,FRUTAS,Naranja Valencia,"Manizales, Centro Galerías",556.0
feb-13,FRUTAS,Papaya Maradol,"Manizales, Centro Galerías",1150.0
feb-13,FRUTAS,Pera importada,"Manizales, Centro Galerías",3497.0
feb-13,FRUTAS,Piña gold,"Manizales, Centro Galerías",1700.0
feb-13,FRUTAS,Tangelo,"Manizales, Centro Galerías",1466.0
feb-13,FRUTAS,Tomate de árbol,"Manizales, Centro Galerías",1038.0
feb-13,FRUTAS,Uva red globe nacional,"Manizales, Centro Galerías",3600.0
feb-13,GRANOS Y CEREALES,Arroz de primera,"Manizales, Centro Galerías",2487.0
feb-13,GRANOS Y CEREALES,Arveja verde seca importada,"Manizales, Centro Galerías",1721.0
feb-13,GRANOS Y CEREALES,Fríjol cargamanto rojo,"Manizales, Centro Galerías",4667.0
feb-13,GRANOS Y CEREALES,Lenteja importada,"Manizales, Centro Galerías",1770.0
feb-13,GRANOS Y CEREALES,Maíz amarillo cáscara,"Manizales, Centro Galerías",972.0
feb-13,GRANOS Y CEREALES,Maíz blanco trillado,"Manizales, Centro Galerías",1233.0
feb-13,LACTEOS Y HUEVOS,Huevo blanco A,"Manizales, Centro Galerías",207.0
feb-13,LACTEOS Y HUEVOS,Huevo blanco AA,"Manizales, Centro Galerías",220.0
feb-13,LACTEOS Y HUEVOS,Huevo blanco extra,"Manizales, Centro Galerías",247.0
feb-13,LACTEOS Y HUEVOS,Queso campesino,"Manizales, Centro Galerías",6550.0
feb-13,LACTEOS Y HUEVOS,Queso costeño,"Manizales, Centro Galerías",9313.0
feb-13,PESCADOS,Bocachico importado congelado,"Manizales, Centro Galerías",5900.0
feb-13,PESCADOS,Trucha en corte mariposa,"Manizales, Centro Galerías",1200.0
feb-13,PROCESADOS,Azúcar sulfitada,"Manizales, Centro Galerías",1493.0
feb-13,PROCESADOS,Café molido,"Manizales, Centro Galerías",1550.0
feb-13,PROCESADOS,Chocolate amargo,"Manizales, Centro Galerías",1696.6999999999998
feb-13,PROCESADOS,Gelatina,"Manizales, Centro Galerías",9030.0
feb-13,PROCESADOS,Harina de trigo,"Manizales, Centro Galerías",1900.0
feb-13,PROCESADOS,Harina precocida de maíz,"Manizales, Centro Galerías",2686.0
feb-13,PROCESADOS,Manteca,"Manizales, Centro Galerías",4350.0
feb-13,PROCESADOS,Margarina,"Manizales, Centro Galerías",8483.0
feb-13,PROCESADOS,Panela redonda morena,"Manizales, Centro Galerías",1750.0
feb-13,PROCESADOS,Sal yodada,"Manizales, Centro Galerías",800.0
feb-13,PROCESADOS,Sardinas en lata,"Manizales, Centro Galerías",6260.0
feb-13,"TUBERCULOS, RAICES Y PLATANOS",Arracacha blanca,"Manizales, Centro Galerías",1245.0
feb-13,"TUBERCULOS, RAICES Y PLATANOS",Papa capira,"Manizales, Centro Galerías",519.0
feb-13,"TUBERCULOS, RAICES Y PLATANOS",Papa criolla limpia,"Manizales, Centro Galerías",1584.0
feb-13,"TUBERCULOS, RAICES Y PLATANOS",Papa R-12 negra,"Manizales, Centro Galerías",504.0
feb-13,"TUBERCULOS, RAICES Y PLATANOS",Papa única,"Manizales, Centro Galerías",484.0
feb-13,"TUBERCULOS, RAICES Y PLATANOS",Plátano dominico hartón maduro,"Manizales, Centro Galerías",567.0
feb-13,"TUBERCULOS, RAICES Y PLATANOS",Plátano dominico hartón verde,"Manizales, Centro Galerías",567.0
feb-13,"TUBERCULOS, RAICES Y PLATANOS",Yuca ICA,"Manizales, Centro Galerías",1358.0
feb-13,VERDURAS Y HORTALIZAS,Ahuyama,"Manizales, Centro Galerías",800.0
feb-13,VERDURAS Y HORTALIZAS,Ajo,"Manizales, Centro Galerías",3750.0
feb-13,VERDURAS Y HORTALIZAS,Apio,"Manizales, Centro Galerías",868.0
feb-13,VERDURAS Y HORTALIZAS,Arveja verde en vaina,"Manizales, Centro Galerías",2260.0
feb-13,VERDURAS Y HORTALIZAS,Berenjena,"Manizales, Centro Galerías",2000.0
feb-13,VERDURAS Y HORTALIZAS,Brócoli,"Manizales, Centro Galerías",2505.0
feb-13,VERDURAS Y HORTALIZAS,Cebolla cabezona blanca,"Manizales, Centro Galerías",772.0
feb-13,VERDURAS Y HORTALIZAS,Cebolla junca,"Manizales, Centro Galerías",980.0
feb-13,VERDURAS Y HORTALIZAS,Chócolo mazorca,"Manizales, Centro Galerías",436.0
feb-13,VERDURAS Y HORTALIZAS,Cilantro,"Manizales, Centro Galerías",2867.0
feb-13,VERDURAS Y HORTALIZAS,Coliflor,"Manizales, Centro Galerías",1965.0
feb-13,VERDURAS Y HORTALIZAS,Espinaca,"Manizales, Centro Galerías",3000.0
feb-13,VERDURAS Y HORTALIZAS,Fríjol verde en vaina,"Manizales, Centro Galerías",1842.0
feb-13,VERDURAS Y HORTALIZAS,Habichuela,"Manizales, Centro Galerías",2055.0
feb-13,VERDURAS Y HORTALIZAS,Lechuga Batavia,"Manizales, Centro Galerías",1544.0
feb-13,VERDURAS Y HORTALIZAS,Pepino cohombro,"Manizales, Centro Galerías",1153.0
feb-13,VERDURAS Y HORTALIZAS,Perejil,"Manizales, Centro Galerías",3600.0
feb-13,VERDURAS Y HORTALIZAS,Pimentón,"Manizales, Centro Galerías",1393.0
feb-13,VERDURAS Y HORTALIZAS,Remolacha,"Manizales, Centro Galerías",721.0
feb-13,VERDURAS Y HORTALIZAS,Repollo verde,"Manizales, Centro Galerías",762.0
feb-13,VERDURAS Y HORTALIZAS,Tomate chonto,"Manizales, Centro Galerías",1475.0
mar-13,CARNES,"Carne de cerdo, espinazo","Manizales, Centro Galerías",7000.0
mar-13,CARNES,"Carne de cerdo, lomo sin hueso","Manizales, Centro Galerías",1300.0
mar-13,CARNES,"Carne de cerdo, pernil sin hueso","Manizales, Centro Galerías",1100.0
mar-13,CARNES,"Carne de cerdo, tocino papada","Manizales, Centro Galerías",8000.0
mar-13,FRUTAS,Banano criollo,"Manizales, Centro Galerías",508.0
mar-13,FRUTAS,Coco,"Manizales, Centro Galerías",1613.0
