Fecha,Grupo,Producto,Mercado,Precio_kg
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Armenia, Mercar",1.187
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Barranquilla, Barranquillita",3
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Bogotá, D.C., Corabastos",678
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Bucaramanga, Centroabastos",1.133
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Cali, Santa Helena",1.542
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Cartagena, Bazurto",2.025
ene-16,VERDURAS Y HORTALIZAS,Acelga,Chiquinquirá (Boyacá),1.771
ene-16,VERDURAS Y HORTALIZAS,Acelga,Duitama (Boyacá),1
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Ibagué, Plaza La 21",910
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Ipiales (Nariño), Ipiales somos todos",1.015
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Medellín, Central Mayorista de Antioquia",1.39
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Neiva, Surabastos",1.492
ene-16,VERDURAS Y HORTALIZAS,Acelga,Pamplona (Norte de Santander),1.85
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Pasto, El Potrerillo",1.976
ene-16,VERDURAS Y HORTALIZAS,Acelga,Sogamoso (Boyacá),1
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Tunja, Complejo de Servicios del Sur",990
ene-16,VERDURAS Y HORTALIZAS,Acelga,Ubaté (Cundinamarca),850
ene-16,VERDURAS Y HORTALIZAS,Acelga,"Villavicencio, CAV",1.116
ene-16,VERDURAS Y HORTALIZAS,Acelga,Yopal (Casanare),1.6
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Armenia, Mercar",1.209
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Barranquillita",599
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Barranquilla, Granabastos",643
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Bogotá, D.C., Corabastos",1.458
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Bucaramanga, Centroabastos",979
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,Buenaventura (Valle del Cauca),1.538
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Cali, Cavasa",1.431
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Cali, Santa Helena",1.525
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Cartagena, Bazurto",679
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,Cartago (Valle del Cauca),1.369
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Cúcuta, Cenabastos",1.188
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,Duitama (Boyacá),884
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Ibagué, Plaza La 21",1.131
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Manizales, Centro Galerías",1.25
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Medellín, Central Mayorista de Antioquia",983
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Montería, Mercado del Sur",500
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,Palmira (Valle del Cauca),1.385
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,Pamplona (Norte de Santander),1.487
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Pereira, La 41",1.242
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Pereira, Mercasa",1.202
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Popayán, Plaza de mercado del barrio Bolívar",860
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,Rionegro (Antioquia),1.178
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,San Gil (Santander),877
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Sincelejo, Nuevo Mercado",638
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,Socorro (Santander),870
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,Tuluá (Valle del Cauca),1.332
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Tunja, Complejo de Servicios del Sur",771
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Valledupar, Mercabastos",544
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Valledupar, Mercado Nuevo",549
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,"Villavicencio, CAV",1.618
ene-16,VERDURAS Y HORTALIZAS,Ahuyama,Yopal (Casanare),825
ene-16,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Bogotá, D.C., Corabastos",816
ene-16,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),"Neiva, Surabastos",1.168
ene-16,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),San Gil (Santander),882
ene-16,VERDURAS Y HORTALIZAS,Ahuyamín (Sakata),Sogamoso (Boyacá),712
