Fecha,Grupo,Producto,Mercado,Precio_kg
ene-14,CARNES,Alas de pollo con costillar,"Barranquilla, Barranquillita",3.4
ene-14,CARNES,Alas de pollo con costillar,"Barranquilla, Granabastos",3.84
ene-14,CARNES,Alas de pollo con costillar,"Bogotá, D.C., Frigorífico Ble Ltda.",2.905
ene-14,CARNES,Alas de pollo con costillar,"Bogotá, D.C., Frigorífico Guadalupe",2.522
ene-14,CARNES,Alas de pollo con costillar,"Cali, Galería Alameda",3.867
ene-14,CARNES,Alas de pollo con costillar,"Cali, Santa Helena",3.517
ene-14,CARNES,Alas de pollo con costillar,"Cartagena, Bazurto",3.675
ene-14,CARNES,Alas de pollo con costillar,"Ibagué, Plaza La 21",4
ene-14,CARNES,Alas de pollo con costillar,"Medellín, Plaza Minorista ""José María Villa""",4.2
ene-14,CARNES,Alas de pollo con costillar,"Montería, Mercado del Sur",3.764
ene-14,CARNES,Alas de pollo con costillar,"Sincelejo, Nuevo Mercado",3.71
ene-14,CARNES,Alas de pollo con costillar,Tuluá (Valle del Cauca),4.247
ene-14,CARNES,Alas de pollo con costillar,"Valledupar, Mercado Nuevo",3.163
ene-14,CARNES,Alas de pollo con costillar,"Villavicencio, CAV",4.325
ene-14,CARNES,Alas de pollo sin costillar,"Armenia, Mercar",4.125
ene-14,CARNES,Alas de pollo sin costillar,"Bogotá, D.C., Corabastos",4.117
ene-14,CARNES,Alas de pollo sin costillar,"Bogotá, D.C., Frigorífico Ble Ltda.",4.796
ene-14,CARNES,Alas de pollo sin costillar,"Bogotá, D.C., Frigorífico Guadalupe",4.771
ene-14,CARNES,Alas de pollo sin costillar,"Bogotá, D.C., Paloquemao",5.293
ene-14,CARNES,Alas de pollo sin costillar,"Bucaramanga, Frigoríficos",4.783
ene-14,CARNES,Alas de pollo sin costillar,"Cúcuta, Cenabastos",3.521
ene-14,CARNES,Alas de pollo sin costillar,"Medellín, Central Mayorista de Antioquia",5.266
ene-14,CARNES,Alas de pollo sin costillar,"Neiva, Surabastos",4
ene-14,CARNES,"Carne de cerdo, brazo con hueso","Armenia, Frigocafé",11.04
ene-14,CARNES,"Carne de cerdo, brazo con hueso","Barranquilla, Barranquillita",8.04
ene-14,CARNES,"Carne de cerdo, brazo con hueso","Bogotá, D.C., Frigorífico Ble Ltda.",8.65
ene-14,CARNES,"Carne de cerdo, brazo con hueso","Bogotá, D.C., Frigorífico Guadalupe",8.398
ene-14,CARNES,"Carne de cerdo, brazo con hueso","Bogotá, D.C., Paloquemao",9.02
ene-14,CARNES,"Carne de cerdo, brazo con hueso","Cartagena, Bazurto",7
ene-14,CARNES,"Carne de cerdo, brazo con hueso","Cúcuta, Cenabastos",8.75
ene-14,CARNES,"Carne de cerdo, brazo con hueso","Montería, Mercado del Sur",8.267
ene-14,CARNES,"Carne de cerdo, brazo con hueso","Sincelejo, Nuevo Mercado",7
ene-14,CARNES,"Carne de cerdo, brazo con hueso","Villavicencio, CAV",8.969
ene-14,CARNES,"Carne de cerdo, brazo sin hueso","Armenia, Frigocafé",12.04
ene-14,CARNES,"Carne de cerdo, brazo sin hueso","Barranquilla, Barranquillita",10.32
ene-14,CARNES,"Carne de cerdo, brazo sin hueso","Bogotá, D.C., Frigorífico Ble Ltda.",9.173
ene-14,CARNES,"Carne de cerdo, brazo sin hueso","Bogotá, D.C., Frigorífico Guadalupe",9.204
ene-14,CARNES,"Carne de cerdo, brazo sin hueso","Bogotá, D.C., Paloquemao",9.59
ene-14,CARNES,"Carne de cerdo, brazo sin hueso",Buenaventura (Valle del Cauca),11
ene-14,CARNES,"Carne de cerdo, brazo sin hueso","Cali, Santa Helena",8.8
ene-14,CARNES,"Carne de cerdo, brazo sin hueso","Cartagena, Bazurto",10
ene-14,CARNES,"Carne de cerdo, brazo sin hueso","Ibagué, Frigorífico Carlima",10.5
ene-14,CARNES,"Carne de cerdo, brazo sin hueso","Ibagué, Plaza La 21",10.753
ene-14,CARNES,"Carne de cerdo, brazo sin hueso","Medellín, Central Mayorista de Antioquia",10.2
ene-14,CARNES,"Carne de cerdo, brazo sin hueso","Montería, Mercado del Sur",11
ene-14,CARNES,"Carne de cerdo, brazo sin hueso",Palmira (Valle del Cauca),10.042
