CodigoEstacion;NombreEstacion;Latitud;Longitud;Altitud;Categoria;Entidad;AreaOperativa;Departamento;Municipio;FechaInstalacion;FechaSuspension;IdParametro;Etiqueta;DescripcionSerie;Frecuencia;Fecha;Mes;Dia;A?o;Valor;Grado;Calificador;NivelAprobacion
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/17/2017;1;17;17;0;-1;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/18/2017;1;18;17;377;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/19/2017;1;19;17;28;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/20/2017;1;20;17;2;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/21/2017;1;21;17;28;-1;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/22/2017;1;22;17;0;-1;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/23/2017;1;23;17;0;-1;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/24/2017;1;24;17;0;-1;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/25/2017;1;25;17;0;-1;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/26/2017;1;26;17;0;-1;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/27/2017;1;27;17;0;-1;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/28/2017;1;28;17;0;-1;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/29/2017;1;29;17;0;-1;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/30/2017;1;30;17;0;-1;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;1/31/2017;1;31;17;0;-1;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/1/2017;2;1;17;23;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/2/2017;2;2;17;0;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/3/2017;2;3;17;0;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/4/2017;2;4;17;0;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/5/2017;2;5;17;8;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/6/2017;2;6;17;0;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/7/2017;2;7;17;0;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/8/2017;2;8;17;0;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/9/2017;2;9;17;4;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/10/2017;2;10;17;39;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/11/2017;2;11;17;0;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/12/2017;2;12;17;76;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/13/2017;2;13;17;194;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/14/2017;2;14;17;0;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/15/2017;2;15;17;0;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/16/2017;2;16;17;0;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/17/2017;2;17;17;1;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/18/2017;2;18;17;3;50;;900
26155230;EMAS - AUT [26155230];508525;-7550713889;2211;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 09 - Cauca-Valle-Caldas;Caldas;Manizales;10/06/2004;;PRECIPITACION;PT_10_TT_D;Precipitación total diaria (automática);Diaria;2/19/2017;2;19;17;0;50;;900
