CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Mes,Dia,A�o,Valor,Grado,Calificador,NivelAprobacion
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/1/2016,03,01,16,79,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/2/2016,03,02,16,86,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/3/2016,03,03,16,82,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/4/2016,03,04,16,84,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/5/2016,03,05,16,88,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/6/2016,03,06,16,86,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/7/2016,03,07,16,86,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/8/2016,03,08,16,86,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/9/2016,03,09,16,92,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/10/2016,03,10,16,83,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/11/2016,03,11,16,82,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/12/2016,03,12,16,81,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/13/2016,03,13,16,88,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/14/2016,03,14,16,92,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/15/2016,03,15,16,80,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/16/2016,03,16,16,85,50,,900
26155110,AEROPUERTO LA NUBIA AUT [26155110],5.029777778,-75.46991667,2104,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/06/1968 00:00,,HUM RELATIVA,HR_CAL_MX_D,Húmeda relativa calculada máxima diaria,Diaria,3/17/2016,03,17,16,87,50,,900
