CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
26157100,SAN GABRIEL [26157100],5.1193055560,-75.56472222,1173,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/07/1984 00:00,,NIVEL,NV_MEDIA_D,Nivel medio diario,Diaria,2016-02-17 00:00,110,50,,1200
26157100,SAN GABRIEL [26157100],5.1193055560,-75.56472222,1173,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/07/1984 00:00,,NIVEL,NV_MEDIA_D,Nivel medio diario,Diaria,2016-02-18 00:00,110,50,,1200
26157100,SAN GABRIEL [26157100],5.1193055560,-75.56472222,1173,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/07/1984 00:00,,NIVEL,NV_MEDIA_D,Nivel medio diario,Diaria,2016-02-19 00:00,110,50,,1200
26157100,SAN GABRIEL [26157100],5.1193055560,-75.56472222,1173,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/07/1984 00:00,,NIVEL,NV_MEDIA_D,Nivel medio diario,Diaria,2016-02-20 00:00,127.784090909055,50,,1200
26157100,SAN GABRIEL [26157100],5.1193055560,-75.56472222,1173,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/07/1984 00:00,,NIVEL,NV_MEDIA_D,Nivel medio diario,Diaria,2016-02-21 00:00,152.026515151515,50,,1200
26157100,SAN GABRIEL [26157100],5.1193055560,-75.56472222,1173,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/07/1984 00:00,,NIVEL,NV_MEDIA_D,Nivel medio diario,Diaria,2016-02-22 00:00,129.772727272739,50,,1200
26157100,SAN GABRIEL [26157100],5.1193055560,-75.56472222,1173,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/07/1984 00:00,,NIVEL,NV_MEDIA_D,Nivel medio diario,Diaria,2016-02-23 00:00,117.500000000003,50,,1200
26157100,SAN GABRIEL [26157100],5.1193055560,-75.56472222,1173,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/07/1984 00:00,,NIVEL,NV_MEDIA_D,Nivel medio diario,Diaria,2016-02-24 00:00,112.500000000003,50,,1200
26157100,SAN GABRIEL [26157100],5.1193055560,-75.56472222,1173,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/07/1984 00:00,,NIVEL,NV_MEDIA_D,Nivel medio diario,Diaria,2016-02-25 00:00,110,50,,1200
26157100,SAN GABRIEL [26157100],5.1193055560,-75.56472222,1173,Limnimétrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 09 - Cauca-Valle-Caldas,Caldas,Manizales,15/07/1984 00:00,,NIVEL,NV_MEDIA_D,Nivel medio diario,Diaria,2016-02-26 00:00,110,50,,1200
